NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION
Monica Jimenez Acosta,persona,LF del Centro SC de RL de CV,shareholder
Rafael Ramirez Grijalva,persona,LF del Centro SC de RL de CV,shareholder
Ricardo Perez Flores,persona,LF del Centro SC de RL de CV,shareholder
Generadora Fénix SAPI de CV,empresa,,
Sindicato Mexicano de Electricistas,empresa,Generadora Fénix SAPI de CV,parent
MOTA-ENGIL México SA de CV,empresa,,
MOTA-ENGIL SGPS SA,empresa,MOTA-ENGIL México SA de CV,parent
China Communications Construction Co LTD,empresa,MOTA-ENGIL SGPS SA,shareholder
Epoch Capital Investments BV,empresa,MOTA-ENGIL SGPS SA,shareholder
FM - Sociedade de Controlo SGPS SA,empresa,MOTA-ENGIL SGPS SA,shareholder
Ana Paula Chaves e Sá Ribeiro,persona,MOTA-ENGIL SGPS SA,boardmember
António Manuel Queirós Vasconcelos da Mota,persona,MOTA-ENGIL SGPS SA,boardmember
Carlos António Vasconcelos Mota dos Santos,persona,MOTA-ENGIL SGPS SA,boardmember
Feng Tian,persona,MOTA-ENGIL SGPS SA,boardmember
Francisco Manuel Seixas da Costa,persona,MOTA-ENGIL SGPS SA,boardmember
Gonçalo Nuno Gomes de Andrade Moura Martins,persona,MOTA-ENGIL SGPS SA,boardmember
Jingchun Wang,persona,MOTA-ENGIL SGPS SA,boardmember
João Pedro dos Santos Dinis Parreira,persona,MOTA-ENGIL SGPS SA,boardmember
José Carlos Barroso Pereira Pinto Nogueira,persona,MOTA-ENGIL SGPS SA,boardmember
Leong Vai Tac,persona,MOTA-ENGIL SGPS SA,boardmember
Manuel António da Fonseca Vasconcelos da Mota,persona,MOTA-ENGIL SGPS SA,boardmember
Maria Paula Queirós Vasconcelos Mota de Meireles,persona,MOTA-ENGIL SGPS SA,boardmember
Paulo Sacadura Cabral Portas,persona,MOTA-ENGIL SGPS SA,boardmember
Ping Ping,persona,MOTA-ENGIL SGPS SA,boardmember
Sofia Salgado Cerveira Pinto,persona,MOTA-ENGIL SGPS SA,boardmember
